,#,PlayerName,Position,Age,Market Value,Departed from,Departed league,Joined,Country,Transfer Fee
73,74,Obbi Oulare,Centre-Forward,23,£1.35m,Watford,England,Standard Liège,Belgium,£2.70m
74,75,Joao Victor,Left Winger,25,£2.70m,LASK,Austria,VfL Wolfsburg,Germany,£1.80m
75,76,Ivo Pinto,Right-Back,29,£2.70m,Norwich,England,Dinamo Zagreb,Croatia,Free Transfer
76,77,Steven Davis,Central Midfield,34,£2.70m,Southampton,England,Rangers,Scotland,Free Transfer
77,78,Odilon Kossounou,Centre-Back,18,-,Hammarby,Allsvenskan,Club Brugge,Belgium,£2.52m
78,79,Samuel Di Carmine,Centre-Forward,30,£1.53m,Perugia,Italy,Hellas Verona,Italy,£2.25m
79,80,Orestis Karnezis,Goalkeeper,33,£2.25m,Udinese Calcio,Italy,SSC Napoli,Italy,£2.25m
80,81,Morten Thorsby,Central Midfield,23,£2.25m,Heerenveen,Netherlands,Sampdoria,Italy,Free Transfer
81,83,Evander,Central Midfield,20,£900k,Vasco da Gama,Série A,FC Midtjylland,Denmark,£2.25m
82,84,Berkay Özcan,Attacking Midfield,21,£2.25m,VfB Stuttgart,Germany,Hamburger SV,Germany,£1.35m
83,85,Fabian Lustenberger,Defensive Midfield,31,£2.25m,Hertha BSC,Germany,BSC Young Boys,Switzerland,Free Transfer
84,86,Pirmin Schwegler,Defensive Midfield,32,£2.25m,Hannover 96,Germany,Western Sydney,A-League,Free Transfer
85,87,José Sá,Goalkeeper,26,£1.80m,FC Porto,Portugal,Olympiacos,Greece,£2.25m
86,88,José van Rankin,Right-Back,26,£2.07m,UNAM Pumas,Liga MX Apertura,Chivas,Liga MX Apertura,?
87,89,Rey Manaj,Centre-Forward,22,£1.35m,Inter,Italy,Albacete,Spain,£1.80m
88,90,Jorge Sáenz,Centre-Back,22,£900k,CD Tenerife,Spain,Valencia,LaLiga,£1.80m
89,91,Caio,Left Winger,25,£1.80m,Al-Ain FC,UAE Gulf League,Benfica,Portugal,Free Transfer
90,92,Pawel Dawidowicz,Centre-Back,23,£1.44m,Benfica B,Portugal,Hellas Verona,Italy,£1.80m
91,93,Ibrahima Seck,Defensive Midfield,29,£1.80m,KRC Genk,Belgium,Zulte Waregem,Belgium,?
92,95,Konstantinos Stafylidis,Left-Back,25,£1.80m,FC Augsburg,Germany,TSG Hoffenheim,Germany,Free Transfer
93,96,Ivan Petriak,Left Winger,25,£1.80m,Shakhtar D.,Ukraine,Vidi FC,Hungary,£1.35m
94,97,Nikita Vlasenko,Centre-Back,18,-,FC Lugano,Switzerland,Juventus U19,Italy,£1.62m
95,99,Jan Gyamerah,Right-Back,23,£1.35m,VfL Bochum,Germany,Hamburger SV,Germany,Free Transfer
96,100,Lucas Andersen,Second Striker,24,£1.35m,Grasshoppers,Switzerland,Aalborg BK,Denmark,£603k
97,101,Igor Diveev,Centre-Back,19,£1.35m,Ufa,Russia,CSKA Moscow,Russia,£1.35m
98,102,Jeremy Dudziak,Right-Back,23,£1.35m,FC St. Pauli,Germany,Hamburger SV,Germany,Free Transfer
99,103,Harold Moukoudi,Centre-Back,21,£1.35m,AC Le Havre,Ligue 2,Saint-Étienne,Ligue 1,Free Transfer
100,104,Kjell Scherpen,Goalkeeper,19,£1.35m,FC Emmen,Netherlands,Ajax,Netherlands,?
101,105,Toni Fruk,Attacking Midfield,18,-,Mouscron Res.,Belgium,Fiorentina U19,Italy,£1.35m
102,106,Mateo Klimowicz,Attacking Midfield,18,£900k,Instituto,Primera B Nacional,VfB Stuttgart,Germany,£1.35m
103,107,Selim Amallah,Attacking Midfield,22,£900k,Mouscron,Belgium,Standard Liège,Belgium,£1.35m
104,108,Sargis Adamyan,Left Winger,25,£1.35m,Jahn Regensburg,Germany,TSG Hoffenheim,Germany,£1.35m
105,110,Aristote Nkaka,Defensive Midfield,23,£900k,KV Oostende,Belgium,RSC Anderlecht,Belgium,£900k
106,111,Lorenzo Montipò,Goalkeeper,23,£720k,Novara,Italy,Benevento,Italy,£900k
107,112,Edoardo Masciangelo,Left-Back,22,£450k,FC Lugano,Switzerland,Juventus U23,Italy,£900k
